,SEPHORA,ULTA,,,,
,AAVRANI,St. Moriz,,,869,total brands
,ABBOTT, 18.21 Man Made,,,55,brands not found
,Act+Acre,,,,814,brands in product table
,adwoa beauty,,,,,
,AERIN,,,,,
,Algenist,,,,,
,ALO,,,,A,x
,Alpyn Beauty,,,,B,x
,ALTERNA Haircare,,,,C,x
,Ami Colé,,,,D,x
,amika,,,,E,x
,Anastasia Beverly Hills,,,,F,x
,Aquis,,,,G,
,Armani Beauty,,,,H,x
,Artist Couture,,,,I,x
,Augustinus Bader,,,,J,x
,Azzaro,,,,K,x
None,Ciaté London,,,,L,x
None,DEREK LAM 10 CROSBY,,,,M,x
None,Eight & Bob,,,,N,x
,GLO Science,,,,O,x
None,Grace Eleyae,,,,P,x
None,iluminage,,,,Q,
None,Indie Lee,,,,R,
,Milk Makeup,,,,S,x
None,OTHERLAND,,,,T,
None,Prima,,,,U,
,Ralph Lauren,,,,V,
,Saint Jane,,,,W,
,Salt & Stone,,,,X,
,SEPHORA COLLECTION,,,,Y,
,Sephora Favorites,,,,Z,
,Shani Darden Skin Care,,,,,
,Shark Beauty,,,,,
,SHAZ & KIKS,,,,,
,Shiseido,,,,,
,shu uemura,,,,,
,SIMIHAZE BEAUTY,,,,,
,SK-II,,,,,
,Skin Laundry,,,,,
,Skinfix,,,,,
,Skylar,,,,,
,Slip,,,,,
,Smashbox,,,,,
,Smile Makers,,,,,
,Soft Services,,,,,
,Sol de Janeiro,,,,,
,Soleil Toujours,,,,,
,Susteau,,,,,
,Voluspa,,,,,
,19-69,,,19-69,,
,5 SENS,,,54 Thrones,,
,54 Thrones,,,SHAZ & KIKS,,
,,,,Ciaté London,,
,,,,Act+Acre,,
